GAE/ACALTF,GAE/ACPHIR,GAE/ACPSIR,GAE/IAIRSPK,GAE/THETAR,GAE/UBODYF,GAE/VBODYF,GAE/WBODYF,GAE/Z1DOTF,zzSCENARIO/SYSTEM_TIME,
1207.24,0.0122077,6.18585,149.302,0.566586,255.11,5.94488,22.961,-117.632,35.53,
1220.11,0.0154862,6.18447,149.232,0.560277,255.066,6.34318,22.5214,-116.52,35.64,
1232.86,0.0188208,6.18334,149.166,0.553493,255.032,6.69428,22.1156,-115.272,35.76,
1245.48,0.0224415,6.18276,149.119,0.548983,254.997,6.9294,22.0205,-114.218,35.86,
1257.98,0.0271099,6.18256,149.077,0.546765,254.907,7.14135,22.678,-113.036,35.97,
1270.34,0.0327085,6.18283,149.041,0.546971,254.781,7.30302,23.8561,-111.892,36.08,
1282.58,0.0389868,6.18364,149.008,0.551767,254.539,7.42413,26.1653,-110.806,36.19,
1294.71,0.0456871,6.18482,148.972,0.557056,254.266,7.51662,28.5364,-109.832,36.3,
1306.74,0.0527044,6.18634,148.934,0.562956,253.971,7.58791,30.8609,-109.012,36.41,
1318.69,0.0599651,6.18817,148.89,0.569377,253.648,7.64703,33.172,-108.335,36.52,
1329.5,0.0672137,6.19026,148.841,0.57604,253.308,7.6811,35.3762,-107.805,36.63,
1342.41,0.07247,6.19247,148.784,0.582927,252.952,7.61516,37.4904,-107.42,36.74,
1354.21,0.075083,6.19479,148.72,0.589971,252.584,7.42735,39.5093,-107.171,36.85,
1364.92,0.0744886,6.19692,148.654,0.59619,252.231,7.05823,41.2638,-107.042,36.96,
1376.69,0.0709958,6.19922,148.574,0.599952,251.995,6.56815,42.2506,-107.033,37.06,
1389.54,0.0645088,6.20181,148.482,0.601873,251.819,5.77797,42.7431,-107.093,37.18,
1400.26,0.0578145,6.2042,148.403,0.602465,251.721,4.89186,42.813,-107.194,37.29,
1412.05,0.0499519,6.2072,148.316,0.603161,251.621,3.87863,42.8676,-107.3,37.4,
1423.86,0.0413261,6.21091,148.22,0.603775,251.52,2.76238,42.9048,-107.405,37.51,
1435.68,0.033677,6.21469,148.13,0.604652,251.41,1.56644,42.9602,-107.514,37.62,
1447.51,0.0270915,6.21844,148.047,0.607575,251.194,0.311199,43.5737,-107.632,37.73,
1459.36,0.0202814,6.2228,147.951,0.612337,250.922,-0.867478,44.4739,-107.751,37.83,
1471.22,0.0141105,6.22731,147.847,0.617726,250.591,-2.17036,45.5133,-107.938,37.94,
1483.11,0.0110939,6.23205,147.733,0.62423,250.195,-3.33158,46.7578,-108.186,38.05,
1495.03,0.0111366,6.23684,147.608,0.630939,249.775,-4.35671,47.9746,-108.504,38.16,
1506.99,0.0129853,6.2415,147.472,0.637788,249.338,-5.24417,49.1396,-108.897,38.27,
1518.99,0.015872,6.24585,147.326,0.643211,248.955,-5.99249,49.9198,-109.349,38.38,
1531.05,0.019338,6.24979,147.175,0.647127,248.651,-6.60056,50.2604,-109.855,38.49,
1543.17,0.0230744,6.25323,147.019,0.648988,248.446,-7.06937,50.0773,-110.38,38.6,
1554.23,0.0265463,6.2559,146.873,0.649638,248.306,-7.40159,49.5483,-110.902,38.71,
1567.57,0.0306608,6.25852,146.693,0.650219,248.157,-7.60332,49.035,-111.386,38.82,
1579.85,0.033187,6.2603,146.524,0.650707,248.003,-7.74837,48.5294,-111.83,38.93,
1591.05,0.0336502,6.2614,146.37,0.651085,247.86,-7.85869,48.0716,-112.202,39.03,
1603.42,0.0325188,6.26212,146.184,0.651472,247.685,-7.96158,47.5302,-112.609,39.15,
1615.82,0.0298237,6.26241,146.028,0.651432,247.531,-8.051,46.9896,-112.941,39.26,
1628.26,0.0257194,6.26228,145.857,0.649542,247.453,-8.13263,46.0438,-113.232,39.37,
1640.73,0.0207091,6.26185,145.69,0.647183,247.411,-8.20056,44.9202,-113.481,39.48,
1653.22,0.0151258,6.26126,145.525,0.646795,247.274,-8.24955,44.4484,-113.646,39.58,
1665.73,0.00913237,6.26048,145.36,0.64704,247.082,-8.29081,44.1618,-113.774,39.69,
1678.25,0.00284867,6.25951,145.195,0.647436,246.883,-8.31938,43.9101,-113.885,39.8,
1690.78,-0.00364817,6.25836,145.029,0.650379,246.577,-8.33699,44.2459,-113.984,39.91,
1703.33,-0.0103066,6.25703,144.857,0.654528,246.196,-8.34757,44.9422,-114.077,40.02,
1715.88,-0.0170774,6.25551,144.679,0.658812,245.804,-8.35282,45.6272,-114.207,40.13,
