GAE/ACALTF,GAE/ACPHIR,GAE/ACPSIR,GAE/IAIRSPK,GAE/THETAR,GAE/UBODYF,GAE/VBODYF,GAE/WBODYF,GAE/Z1DOTF,JoystickX,JoystickY,zzSCENARIO/SYSTEM_TIME,
6.40178,0,0,143.061,0.353927,230.291,0,71.8317,-12.4356,0,0,33.21,
7.88244,0,0,143.881,0.353927,232.145,0,70.5255,-14.4698,0,0,33.32,
9.56423,0,0,144.685,0.353927,234.104,0,69.164,-16.2594,0,0,33.43,
11.4394,0,0,145.474,0.353927,235.687,0,67.9722,-17.98,0,0,33.54,
13.5005,0,0,146.249,0.353927,237.38,0,66.9341,-19.4866,0,0,33.64,
15.7404,0,0,147.011,0.353927,239.026,0,65.8403,-21.0829,0,0,33.75,
18.153,-4.66E-08,6.28319,147.588,0.358231,240.237,-5.85E-06,65.1344,-22.6892,0,0,33.87,
20.5022,-7.79E-07,6.28319,147.203,0.40916,236.685,-6.88E-05,74.9522,-24.1486,0,0,33.97,
23.232,-2.28E-06,6.28319,146.863,0.45836,232.552,-0.000195361,85.311,-25.5542,0,0,34.08,
26.0979,-4.16E-06,6.28318,146.576,0.477067,230.557,-0.000375159,89.1355,-26.6832,0,0,34.19,
29.3809,-6.38E-06,6.28318,146.278,0.482521,230.198,-0.000587403,88.824,-28.0674,0,0,34.3,
32.557,-8.46E-06,6.28318,146.05,0.48353,230.302,-0.000817733,87.5095,-29.5711,0,0,34.41,
35.9073,-1.05E-05,6.28319,145.864,0.486546,230.38,-0.00105759,86.4489,-31.2021,0,0,34.52,
39.1098,-1.24E-05,6.28319,145.73,0.491339,230.313,-0.00128019,85.9803,-32.8509,0,0,34.63,
42.8069,-1.44E-05,6.28319,145.613,0.497738,230.256,-0.00154885,85.6423,-34.5302,0,0,34.74,
46.6908,-1.63E-05,6.28319,145.547,0.505922,230.078,-0.00179303,85.8415,-36.2327,0,0,34.85,
50.7607,-1.82E-05,6.28319,145.522,0.5123,230.036,-0.00201087,85.8723,-37.7729,0,0,34.96,
55.0204,-2.00E-05,6.28319,145.527,0.51828,230.161,-0.00226305,85.5775,-39.6857,0,0,35.07,
59.4747,-2.18E-05,6.28318,145.528,0.524938,230.249,-0.00248248,85.4275,-41.4663,0,0,35.18,
64.1252,-2.35E-05,6.28318,145.531,0.531929,230.295,-0.00268871,85.3471,-43.2523,0,0,35.29,
68.9729,-2.52E-05,6.28318,145.535,0.53895,230.352,-0.00286324,85.2696,-44.8879,0,0,35.4,
74.0192,-2.69E-05,6.28318,145.538,0.546044,230.408,-0.0030396,85.1858,-46.7003,0,0,35.5,
79.2656,-2.85E-05,6.28318,145.54,0.553212,230.463,-0.00321205,85.0929,-48.6931,0,0,35.62,
84.7137,-3.02E-05,6.28318,145.541,0.560431,230.518,-0.00333913,85.005,-50.5337,0,0,35.73,
89.8428,-3.17E-05,6.28318,145.544,0.567697,230.577,-0.00346102,84.9208,-52.2187,0,0,35.83,
95.6803,-3.33E-05,6.28318,145.548,0.575017,230.641,-0.00356402,84.8274,-54.0877,0,0,35.94,
101.724,-3.50E-05,6.28318,145.55,0.582452,230.7,-0.00364824,84.7434,-55.9701,0,0,36.05,
108.554,-3.69E-05,6.28318,145.553,0.58996,230.759,-0.00371409,84.658,-57.8671,0,0,36.17,
114.436,-3.86E-05,6.28318,145.554,0.596853,230.818,-0.0037622,84.5735,-59.7781,0,0,36.27,
121.108,-4.04E-05,6.28318,145.556,0.604461,230.875,-0.00379343,84.4798,-61.7034,0,0,36.38,
127.992,-4.23E-05,6.28318,145.559,0.612845,230.947,-0.00380882,84.3844,-63.6441,0,0,36.49,
135.091,-4.43E-05,6.28318,145.563,0.620608,231.015,-0.00380956,84.2915,-65.6004,0,0,36.6,
142.405,-4.63E-05,6.28317,145.566,0.627747,231.075,-0.00379865,84.2007,-67.5714,0,0,36.71,
149.937,-4.85E-05,6.28317,145.568,0.635667,231.141,-0.00377522,84.1189,-69.5577,0,0,36.82,
157.688,-5.06E-05,6.28317,145.569,0.642063,231.325,-0.00373777,83.6393,-71.5603,0,0,36.93,
165.662,-5.29E-05,6.28317,145.57,0.648517,231.556,-0.00369859,83.1158,-73.6283,0,0,37.04,
173.866,-5.53E-05,6.28317,145.575,0.656333,231.682,-0.00364836,82.9059,-75.5238,0,0,37.14,
181.523,-5.75E-05,6.28316,145.578,0.664392,231.786,-0.00359203,82.7173,-77.6183,0,0,37.25,
190.964,-6.04E-05,6.28316,145.58,0.672805,231.871,-0.00353119,82.5816,-79.7324,0,0,37.37,
